created_at,text
2021-12-04 10:05:22,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:05:05,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:04:43,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:04:06,"GOATED FAMILY ❤️
#Messi  #LM7 https://t.co/Qhnfx5xyO5"
2021-12-04 10:03:34,@ftblChrisTHFC @SaraFCBi @AnkurMessi_ #LM7 says hi lol
2021-12-04 10:03:26,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:02:53,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:02:50,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:02:32,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:56:29,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:56:06,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:53:40,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:53:15,"A short story 🐐👑❤️
#LM7 #Messi #GOAT #Ballondor #BallonDor2021 #LionelMessi https://t.co/Y0JnM1Qqre"
2021-12-04 9:53:04,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:52:22,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:52:19,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:50:38,"Blaugrana magic 
#lm7 #Messi https://t.co/qurm2LNXiN"
2021-12-04 9:50:02,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:49:09,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:48:41,RT @fcbishaq: I C O N I C #LM7 https://t.co/5HjMA8wY6X
2021-12-04 9:47:16,"RT @itzrecobaba: The only thing i don't like about this photo is the absence of HULK 🐕

Messi for give Hulk 🐕 one Golden Ball make him use…"
2021-12-04 9:47:14,Picture of the year ❤️❤️❤️❤️❤️❤️❤️ #LM7 🐐 https://t.co/pRnv66EkUj
2021-12-04 9:46:59,#LM9 in my books. #LM7 https://t.co/nusy93she4
2021-12-04 9:46:57,"The only thing i don't like about this photo is the absence of HULK 🐕

Messi for give Hulk 🐕 one Golden Ball make h… https://t.co/xRR0mka8F6"
2021-12-04 9:45:03,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:42:20,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:42:17,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:42:02,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:41:56,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 9:41:41,"Messi be like, ""gimme 7 balon d'or, one for my wife, one for me, one for Ciro, one for Mateo, two for Thiago and on… https://t.co/KQhmOjKfaZ"
2021-12-04 9:41:05,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 9:40:33,RT @enigma0a: The 🐐 and his Family... The best Family picture you'll EVER see... #Messi #family #LM7 https://t.co/SS1WsEY0U2
2021-12-04 9:40:26,"RT @real_fola: My new header🤩🥳🥳

#Lm7🤩"
2021-12-04 9:40:05,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:40:05,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:39:15,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:38:26,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:38:23,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:38:03,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:37:44,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:37:03,"Every masterpiece has its own cheap copy 

#LM7 #BallonDor https://t.co/YhmZf5tFhA"
2021-12-04 9:36:13,RT @UnstoppableM10: The Greatest 🐐 #LM7 https://t.co/RZkDSb9etD
2021-12-04 9:35:41,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 9:35:28,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 9:34:21,"A Ballon D'or for each of em.. &amp; 2 for leg rest / support. 

The Leo Messi family 😉💪

#LM7 https://t.co/GAkBnHBiPT"
2021-12-04 9:33:09,"RT @raz_m169: All those who are calling #LM7 as robbery are one dimensional, deluded people who don't want to see the complete picture, wha…"
